protein,P,EP,TP,DP,EEP,ETP,EDP,TEP,TTP,TDP,DEP,DTP,DDP,EEEP,EETP,EEDP,ETEP,ETTP,ETDP,EDEP,EDTP,EDDP,TEEP,TETP,TEDP,TTEP,TTTP,TTDP,TDEP,TDTP,TDDP,DEEP,DETP,DEDP,DTEP,DTTP,DTDP,DDEP,DDTP,DDDP,has_path,num_paths,max_path_score,max_degree_score,go_sim,sub_sim,thermo1,thermo2,thermo3,thermo4,thermo5,thermo6,RWR_target_0.2,RWR_target_0.4,RWR_target_0.6,cell_ab_diff,cell_ab_diff_abs,label
9606.ENSP00000360268,0,0,0,0,0.116959064,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.154675048,0.036262204,0.005231037,0.246376812,0.016666667,0.0,0.003372681,0.12,0.0,0.169062286,0.036144578,0.0,0.093023256,0.0,0.0,0.032258065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.166826615,0.173709536,5.9e-05,0.085117197,0.577350269,1,1,1,1,0,0,9.07e-05,6.13e-05,3.1e-05,14.7,14.7,0
9606.ENSP00000360268,0,0,0,0,0.005847953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040071837,0.0,0.02179599,0.082125604,0.0,0.052631579,0.001686341,0.0,0.0,0.036276523,0.0,0.019704433,0.023255814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.043612711,0.2807552,3.68e-06,0.035493763,0.707106781,1,1,1,1,0,0,5.65e-05,2.43e-05,7.29e-06,-92.5,92.5,0
9606.ENSP00000360268,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049276013,0.0,0.009590235,0.053140097,0.0,0.052631579,0.005059022,0.0,0.0,0.039698836,0.0,0.014778325,0.034883721,0.0,0.0,0.016129032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.051663468,0.2804736,1.8e-06,0.116922933,0.707106781,1,1,1,1,1,0,5.55e-05,2.34e-05,6.86e-06,-19.0,19.0,0
9606.ENSP00000360268,0,0,0,0,0.005847953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017566506,0.0,0.019180471,0.028985507,0.0,0.052631579,0.0,0.0,0.0,0.017111567,0.0,0.019704433,0.023255814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.019940286,0.2807552,4.77e-05,-0.012048243,0.534522484,1,1,1,1,0,0,5.98e-05,2.87e-05,1.07e-05,-81.3,81.3,0
9606.ENSP00000360268,0,0,0,0,0.023391813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064541475,0.023709902,0.011333915,0.072463768,0.016666667,0.052631579,0.003372681,0.0,0.0,0.046543463,0.0,0.014778325,0.069767442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.068244828,0.2810368,3.84e-05,0.042512216,0.632455532,1,1,1,1,0,0,7e-05,3.84e-05,1.6e-05,33.2,33.2,0
9606.ENSP00000360268,0,0,0,0,0.011695906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033786059,0.0,0.0,0.043478261,0.0,0.0,0.001686341,0.0,0.0,0.036960986,0.0,0.0,0.011627907,0.0,0.0,0.016129032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.035721902,0.172322304,4.62e-05,0.048676126,0.707106781,1,1,1,1,0,0,6.15e-05,3.04e-05,1.16e-05,80.7,80.7,0
9606.ENSP00000360268,0,0,0,0,0.046783626,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.122741048,0.020920502,0.012205754,0.173913043,0.0,0.105263158,0.035413153,0.0,0.0,0.093086927,0.0,0.0,0.139534884,0.0,0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.129771806,0.291704448,5.42e-05,-0.136085323,0.707106781,1,1,1,1,0,0,7.56e-05,4.42e-05,1.95e-05,15.0,15.0,0
9606.ENSP00000360268,0,0,0,0,0.029239766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091929509,0.006973501,0.012205754,0.09178744,0.0,0.0,0.005059022,0.0,0.0,0.080766598,0.0,0.019704433,0.081395349,0.0,0.0,0.016129032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.096715718,0.2810368,2.7e-05,0.028880781,0.707106781,1,1,1,1,0,0,6.57e-05,3.48e-05,1.42e-05,-44.4,44.4,0
9606.ENSP00000360268,0,0,0,0,0.035087719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.080143675,0.0,0.005231037,0.140096618,0.0,0.0,0.013490725,0.0,0.0,0.056810404,0.0,0.0,0.058139535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.083439966,0.2810368,7.11e-05,0.104679669,0.632455532,1,1,1,1,0,0,7.87e-05,4.86e-05,2.3e-05,-29.0,29.0,0
9606.ENSP00000360268,0,0,0,0,0.076023392,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.139577955,0.0041841,0.005231037,0.164251208,0.0,0.0,0.013490725,0.0,0.0,0.110198494,0.0,0.0,0.081395349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.14502026,0.2810368,8.39e-05,-0.139104949,0.707106781,1,1,1,1,0,0,9.8e-05,7.03e-05,3.74e-05,64.2,64.2,0
